Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
22.64,64,4.6,0,FR,Saint-Pierre,48.95,4.24
23.0,23,6.2,68,IR,Tabas,33.6,56.92
26.0,31,6.7,0,EG,Abnub,27.27,31.15
15.06,52,3.57,20,ZA,Willowmore,-33.3,23.49
18.61,82,8.7,90,FR,Plouzane,48.38,-4.62
10.27,89,3.77,0,RU,Poddorye,57.47,31.12
22.27,36,4.57,20,ZA,Hermanus,-34.42,19.24
17.47,93,0.82,24,ET,Gidole,5.65,37.37
24.82,66,6.27,0,MG,Ambilobe,-13.19,49.05
12.0,81,3.0,12,RU,Pleshanovo,57.46,28.17
10.0,93,4.6,20,FI,Iisalmi,63.56,27.19
23.22,56,2.57,0,IN,Manvi,16.0,77.05
22.12,94,1.42,56,GN,Dabola,10.74,-11.11
24.22,90,1.12,32,CD,Buta,2.79,24.73
1.97,85,7.02,68,RU,Usolye,59.42,56.68
23.82,44,3.87,0,EG,Aswan,24.09,32.9
13.02,94,1.07,88,KE,Nanyuki,0.01,37.07
19.02,82,0.42,64,ZM,Mbala,-8.85,31.37
16.0,29,4.1,0,IR,Birjand,32.86,59.22
20.87,57,4.57,88,PT,Saldanha,41.42,-6.55
16.0,77,9.3,20,ZA,Oudtshoorn,-33.59,22.2
26.65,69,7.2,20,ES,Santa Cruz de Tenerife,28.47,-16.25
29.0,74,2.6,75,CM,Yabassi,4.46,9.97
28.32,81,0.62,24,BR,Camapua,-19.53,-54.04
19.81,89,1.47,36,UG,Kem,2.68,33.77
35.02,34,2.17,0,BR,Joao Pinheiro,-17.74,-46.17
21.0,94,1.5,40,BR,Imbituba,-28.24,-48.67
32.02,33,1.62,0,ML,Goundam,16.42,-3.66
2.87,51,1.62,0,TM,Balkanabat,39.51,54.36
19.0,59,2.1,0,HR,Gospic,44.55,15.37
11.5,76,3.0,0,RU,Oktyabrskiy,55.61,37.97
24.47,47,2.27,56,ZM,Samfya,-11.37,29.56
22.05,53,1.5,0,IT,Anzio,41.45,12.63
23.72,88,5.07,64,BR,Palmeira,-25.43,-50.0
26.12,98,6.17,32,KE,Shimoni,-4.65,39.38
28.37,100,2.27,8,MV,Kudahuvadhoo,2.67,72.89
37.27,29,3.12,0,BR,Oeiras,-7.01,-42.13
17.77,82,10.37,0,ZA,Kruisfontein,-34.0,24.73
25.92,74,3.32,8,AO,Soyo,-6.13,12.37
25.37,92,6.52,48,SO,Bandarbeyla,9.49,50.81
18.67,99,1.17,68,CD,Beni,0.49,29.47
11.47,94,16.42,92,NO,Sorland,67.67,12.69
23.0,64,1.0,40,TR,Manavgat,36.79,31.44
23.87,23,1.32,12,SO,Garowe,8.41,48.48
8.37,66,3.12,0,UA,Kobelyaky,49.15,34.2
31.0,55,9.8,20,BR,Paracuru,-3.41,-39.03
9.92,90,3.52,12,RU,Kholm,57.15,31.18
26.72,76,5.92,68,BR,Sao Jose da Coroa Grande,-8.9,-35.15
11.27,91,2.42,100,CA,Marystown,47.17,-55.16
19.97,100,0.87,88,PH,Marawi,8.0,124.29
9.81,77,2.32,88,RU,Novouzensk,50.46,48.14
38.32,29,5.57,0,GY,Bonfim,3.36,-59.84
19.0,77,2.52,75,AO,Caala,-12.85,15.56
1.62,93,1.42,44,RU,Leshukonskoye,64.9,45.76
28.12,71,7.57,76,BR,Touros,-5.2,-35.46
2.22,100,10.72,0,GL,Paamiut,61.99,-49.67
23.0,40,4.6,0,DE,Mariental,52.28,10.99
29.52,84,4.37,8,GF,Sinnamary,5.38,-52.96
2.17,98,3.07,92,RU,Puksoozero,62.59,40.61
32.0,43,2.37,20,IN,Dholka,22.73,72.44
13.42,34,3.32,0,IR,Khash,28.22,61.21
9.0,81,5.7,56,FO,Klaksvik,62.23,-6.59
17.27,74,4.82,36,SE,Bollnas,61.35,16.39
8.0,81,3.6,92,NO,Hammerfest,70.66,23.68
5.45,71,8.2,75,AR,Ushuaia,-54.81,-68.31
29.57,63,1.07,36,NG,Sabla,12.75,4.71
26.42,96,3.52,44,GH,Takoradi,4.89,-1.75
13.97,67,4.1,75,IR,Abyek,36.04,50.53
37.42,14,2.22,32,MR,Atar,20.52,-13.05
30.0,74,6.2,40,SN,Dakar,14.69,-17.45
1.0,64,2.57,40,GL,Qaqortoq,60.72,-46.03
20.62,46,1.5,0,FR,Bellegarde-sur-Valserine,46.11,5.83
29.12,55,3.02,32,BF,Sindou,10.66,-5.16
26.87,66,2.87,24,GN,Faranah,10.04,-10.74
8.0,81,3.6,100,NO,Havoysund,71.0,24.66
21.02,67,1.22,76,IN,Guna,24.65,77.32
29.0,74,4.1,20,TG,Aneho,6.23,1.6
17.0,67,5.7,20,ZA,East London,-33.02,27.91
33.0,52,4.6,20,GF,Cayenne,4.94,-52.33
25.47,31,1.22,20,NA,Rundu,-17.91,19.77
23.87,78,2.32,8,MZ,Mocuba,-16.84,36.99
19.97,96,0.87,20,IN,Sakleshpur,12.94,75.79
24.32,46,3.07,88,CD,Kipushi,-11.76,27.24
1.52,92,5.37,92,RU,Synya,65.37,58.04
24.0,69,3.6,40,MU,Mahebourg,-20.41,57.7
21.02,92,1.42,36,ID,Kendal,-6.92,110.2
21.32,96,1.47,76,CD,Kindu,-2.95,25.92
15.0,72,2.6,12,EE,Juba,57.82,26.93
7.92,81,2.6,75,CA,Torbay,47.66,-52.73
20.0,82,6.7,90,PY,Caacupe,-25.38,-57.15
16.0,87,8.2,40,ES,Bereda,43.27,-7.54
8.37,90,1.07,36,ZA,Lady Frere,-31.7,27.23
29.0,58,2.6,20,ID,Karaton,-6.34,106.1
32.52,44,4.27,0,BR,Ponta do Sol,-20.63,-46.0
22.97,94,3.37,64,MG,Antalaha,-14.9,50.28
24.0,64,2.6,0,IT,Alghero,40.56,8.32
26.42,81,9.17,24,SO,Eyl,7.98,49.82
-2.89,87,1.17,20,RU,Pinega,64.7,43.39
2.17,93,5.12,0,GL,Nanortalik,60.14,-45.24
26.67,78,2.32,48,NG,Ankpa,7.37,7.63
33.0,59,2.1,0,GW,Bubaque,11.28,-15.83
0.97,95,6.62,0,RU,Iskateley,67.68,53.15
-4.0,68,2.6,75,GL,Ilulissat,69.22,-51.1
5.77,100,0.77,0,NP,Sete,27.58,86.44
16.67,95,0.87,0,ET,Jinka,5.79,36.57
11.97,82,3.52,0,PL,Siemiatycze,52.43,22.86
21.32,42,3.27,0,EG,Matay,28.42,30.79
17.81,88,9.17,8,ZA,Port Alfred,-33.59,26.89
24.45,57,4.1,0,FR,Souillac,45.6,-0.6
24.0,69,3.6,40,MU,Grand Baie,-20.02,57.58
12.72,87,1.17,0,ET,Shambu,9.57,37.1
26.0,50,2.62,0,FR,Arcachon,44.65,-1.18
1.06,79,2.37,76,RU,Oparino,59.85,48.28
25.0,65,2.6,75,TZ,Kigoma,-4.88,29.64
26.57,99,2.67,0,OM,Sur,22.57,59.53
0.92,96,0.77,56,RU,Mezen,65.85,44.24
25.52,84,1.47,0,CG,Ouesso,1.61,16.05
10.97,93,2.67,0,RU,Batetskiy,58.65,30.3
19.47,99,1.07,44,AO,Uige,-7.61,15.06
25.47,78,1.32,36,CD,Boende,-0.28,20.88
18.0,82,5.57,75,IR,Langarud,37.2,50.15
21.0,68,5.1,0,IT,Melfi,41.0,15.66
0.0,85,3.0,20,RU,Zavodouspenskoye,56.86,65.02
20.77,91,4.57,88,CD,Mwene-Ditu,-7.01,23.45
21.65,53,1.0,0,FR,Saint-Joseph,43.56,6.97
25.72,23,2.12,64,AO,Menongue,-14.66,17.68
31.0,55,9.8,20,BR,Vila Velha,-3.71,-38.6
8.72,96,6.62,88,NO,Skjervoy,70.03,20.97
23.62,78,7.57,24,ES,Punta Umbria,37.18,-6.97
30.27,32,4.32,32,NG,Damaturu,11.75,11.96
22.22,93,1.62,44,CD,Bulungu,-4.54,18.6
13.0,58,1.0,0,RU,Krasnaya Gora,53.01,31.6
34.0,44,4.1,75,BR,Barao de Melgaco,-16.19,-55.97
14.0,87,4.0,0,RU,Nikolskoye,59.7,30.79
19.31,100,2.52,92,BR,Guarapuava,-25.4,-51.46
19.99,64,2.1,0,IT,Casale Monferrato,45.14,8.45
25.32,60,2.87,0,QA,Umm Bab,25.21,50.81
20.22,63,3.27,88,PT,Belmonte,40.36,-7.35
24.52,81,4.32,32,LY,Misratah,32.38,15.09
11.22,86,3.32,0,PL,Bielsk Podlaski,52.77,23.19
27.07,82,4.77,64,NG,Lagos,6.46,3.39
14.0,87,4.6,0,DK,Kalundborg,55.68,11.1
5.67,96,1.02,12,IR,Ahar,38.48,47.07
-5.44,74,0.72,48,KG,Vorukh,39.85,70.57
35.12,45,1.82,20,BR,Urucara,-2.54,-57.76
26.37,81,0.72,8,CD,Mangai,-4.07,19.59
26.0,74,3.1,40,AO,Luanda,-8.83,13.24
24.0,60,4.6,0,FR,Bressuire,46.84,-0.49
21.87,70,1.77,0,PK,Garhi Khairo,28.06,67.98
26.02,100,3.42,12,MZ,Angoche,-16.23,39.91
12.97,89,3.92,24,EE,Pajusti,59.28,26.41
25.37,96,7.17,0,BR,Prado,-17.34,-39.22
18.0,48,1.0,0,RS,Alibunar,45.08,20.97
34.0,10,2.6,100,NA,Gobabis,-22.45,18.97
22.02,89,2.82,68,MA,Tiznit,29.7,-9.73
29.0,74,2.6,75,CM,Madimba,4.42,9.93
26.0,69,3.1,20,KM,Mitsamiouli,-11.38,43.28
24.82,52,3.07,0,TZ,Nachingwea,-10.37,38.76
31.0,43,5.7,20,BR,Louveira,-23.09,-46.95
13.02,68,3.47,0,CZ,Novy Malin,49.94,17.03
28.32,96,5.02,0,PK,Keti Bandar,24.14,67.45
0.02,92,1.97,88,RU,Salekhard,66.54,66.62
32.77,55,1.22,8,BR,Sao Felix do Xingu,-6.64,-51.99
-0.34,69,5.22,76,RU,Plast,54.37,60.81
-4.0,68,2.6,75,GL,Qasigiannguit,68.82,-51.19
23.34,47,4.1,0,DE,Sulingen,52.68,8.8
6.67,95,6.32,100,RU,Umba,66.69,34.34
24.4,54,3.6,20,LB,Anjar,33.73,35.93
11.52,100,4.37,8,KZ,Fort-Shevchenko,44.51,50.26
25.0,83,4.1,40,MX,Laguna,27.52,-110.01
9.62,81,9.3,88,NO,Finnsnes,69.23,17.98
19.13,82,5.1,90,FR,Lanester,47.76,-3.34
24.0,69,3.6,40,MU,Cap Malheureux,-19.98,57.61
8.17,86,3.42,12,BY,Horki,54.29,30.98
29.0,62,6.2,75,BR,Pitimbu,-7.47,-34.81
35.12,25,3.32,0,BR,Triunfo,-7.84,-38.1
12.6,69,4.1,90,US,Port Elizabeth,39.31,-74.98
25.47,97,1.52,24,SL,Mattru,7.62,-11.83
0.37,79,5.57,76,RU,Omutninsk,58.67,52.18
21.67,77,1.32,36,ET,Moyale,3.52,39.05
23.0,49,3.1,0,FR,Beaune,47.02,4.84
0.42,86,3.67,88,KZ,Lisakovsk,52.55,62.49
27.32,79,1.62,64,GH,Foso,5.7,-1.29
1.17,79,4.77,92,RU,Vuktyl,63.86,57.31
14.0,87,5.7,0,FI,Kokkola,63.84,23.13
11.0,93,3.1,20,FI,Kajaani,64.22,27.73
15.0,67,2.1,0,LT,Marijampole,54.57,23.35
19.37,83,7.07,36,BR,Tapes,-30.67,-51.4
6.62,73,1.07,0,RU,Divnoye,45.91,43.34
15.37,44,3.22,0,AF,Farah,32.37,62.11
24.82,35,1.57,76,LY,Waddan,29.16,16.14
9.0,100,4.6,90,IE,Westport,53.8,-9.52
11.51,87,5.0,0,RU,Pushkino,56.01,37.85
1.72,75,5.47,68,RU,Gayny,60.3,54.33
19.17,98,1.42,80,MG,Vondrozo,-22.82,47.32
7.02,94,4.32,64,NO,Honningsvag,70.98,25.97
1.81,89,1.07,0,IR,Shahrud,36.42,54.97
24.0,57,3.1,0,EG,Marsa Matruh,31.35,27.25
10.12,62,1.22,76,PK,Mingaora,34.78,72.36
8.17,64,2.57,0,RU,Aksay,47.27,39.86
11.37,75,1.22,12,IR,Damghan,36.17,54.34
14.72,95,2.32,92,ZA,Stanger,-29.34,31.29
10.43,87,3.6,20,GB,Brae,60.4,-1.35
-0.89,76,3.77,64,RU,Kamyshlov,56.85,62.71
11.0,93,3.1,75,NO,Sistranda,63.73,8.83
19.0,72,4.1,75,JP,Nara,34.68,135.8
-0.54,74,3.27,0,RU,Sorochinsk,52.43,53.15
20.02,82,3.1,0,DK,Hvide Sande,56.01,8.13
30.37,48,3.87,24,BR,Araxa,-19.59,-46.94
27.0,88,5.1,40,GA,Port-Gentil,-0.72,8.78
32.0,25,2.1,44,IQ,Baghdad,33.3,44.38
32.82,63,4.77,48,BR,Prata,-19.31,-48.92
29.0,66,5.1,40,BR,Itamaraca,-7.75,-34.83
15.0,47,3.77,40,TM,Sarakhs,36.54,61.16
15.0,62,3.6,90,AZ,Nardaran,40.56,50.01
12.0,74,4.0,0,RU,Aksarayskiy,46.79,48.01
18.77,25,1.92,8,OM,Nizwa,22.93,57.53
17.31,85,9.97,0,UY,Chuy,-33.69,-53.46
19.93,64,2.6,0,IT,Brindisi,40.63,17.94
27.32,80,1.67,68,GH,Dunkwa,5.97,-1.78
15.47,99,6.52,0,UA,Kuybyshevo,44.63,33.86
28.87,20,4.57,0,TD,Biltine,14.53,20.93
2.47,100,1.72,76,NO,Kautokeino,69.01,23.04
28.92,87,5.77,0,BR,Salinopolis,-0.61,-47.36
33.0,52,4.6,20,GF,Roura,4.73,-52.33
24.0,69,3.6,40,MU,Grand Gaube,-20.01,57.66
27.0,78,9.8,90,OM,Salalah,17.01,54.1
7.62,71,3.22,0,UA,Sokyryany,48.45,27.42
7.82,81,2.6,75,CA,Bay Roberts,47.58,-53.28
31.0,12,3.1,0,IR,Iranshahr,27.21,60.69
22.47,97,3.57,20,AL,Orikum,40.33,19.47
23.0,94,4.1,75,LR,Monrovia,6.33,-10.8
24.0,57,4.6,0,FR,Ronne,48.45,0.83
19.02,89,5.77,92,PY,Ayolas,-27.39,-56.84
17.0,59,2.1,0,PL,Wolsztyn,52.11,16.12
6.22,76,1.82,0,BY,Mazyr,52.05,29.27
24.82,31,2.32,0,IR,Dehloran,32.69,47.27
1.87,94,6.37,44,RU,Naryan-Mar,67.67,53.09
29.82,100,2.77,24,BR,Coxim,-18.5,-54.75
23.62,38,2.42,36,AO,Caluquembe,-13.78,14.68
26.87,100,2.32,88,PH,Santander,9.42,123.33
7.81,65,5.7,90,CA,Saint-Philippe,45.36,-73.48
24.77,88,5.57,76,LY,Surt,31.21,16.59
20.31,83,1.32,48,ZM,Kaputa,-8.47,29.66
-1.49,95,1.27,0,RU,Nikolsk,59.53,45.45
25.22,100,2.92,0,TZ,Tingi,-11.3,35.03
20.97,49,1.5,0,IT,Imperia,43.88,8.02
30.42,56,1.92,44,ML,Koutiala,12.39,-5.46
13.0,37,4.1,0,MD,Costuleni,47.08,27.92
13.52,96,0.67,88,IR,Semnan,35.58,53.39
16.81,97,0.72,48,KE,Baringo,0.47,35.97
18.0,63,5.1,0,NA,Luderitz,-26.65,15.16
25.0,69,3.1,20,ES,Aguimes,27.91,-15.45
29.72,19,3.47,92,BW,Gweta,-20.21,25.26
8.0,81,6.2,88,NO,Karasjok,69.47,25.52
23.0,94,4.1,75,LR,Buchanan,5.88,-10.05
0.31,75,3.22,80,RU,Irbit,57.67,63.06
26.0,88,1.07,40,IN,Kollam,8.88,76.6
8.62,96,3.47,76,RU,Pyaozerskiy,65.83,31.17
27.0,83,2.6,40,GA,Cocobeach,1.01,9.58
14.02,44,2.12,0,PK,Dalbandin,28.9,64.41
14.0,47,2.62,90,RU,Chegem,43.56,43.59
27.22,91,6.87,0,CV,Sao Filipe,14.9,-24.5
13.0,87,3.1,0,FI,Ylojarvi,61.56,23.6
28.82,19,2.27,8,NE,Bilma,18.69,12.92
8.47,88,3.42,32,RU,Gusino,54.72,31.37
32.0,25,3.1,20,SA,Buraydah,26.33,43.97
16.81,50,1.52,48,ET,Bedesa,8.9,40.78
20.98,78,2.6,0,FR,Ajaccio,41.93,8.74
26.17,83,6.92,48,SO,Hobyo,5.35,48.53
19.0,72,1.0,0,IT,Cervia,44.26,12.35
-2.09,72,1.37,0,KZ,Chingirlau,51.09,54.08
9.92,68,1.07,0,ET,Kemise,10.72,39.87
30.32,78,1.67,24,BR,Diamantino,-14.4,-56.44
19.0,55,3.6,20,UY,Paso de Carrasco,-34.86,-56.05
16.37,38,12.27,48,AR,Mar del Plata,-46.43,-67.52
34.0,46,3.1,40,BR,Porto Novo,-23.68,-45.44
21.97,47,1.57,8,LY,Ajdabiya,30.75,20.22
31.37,62,2.77,24,GF,Iracoubo,5.48,-53.21
29.0,74,6.2,40,CI,Bonoua,5.27,-3.6
27.82,91,4.42,0,SL,Rokupr,9.01,-12.95
24.42,89,1.12,32,CD,Kisangani,0.52,25.21
38.32,29,5.57,0,GY,Lethem,3.38,-59.8
30.92,18,2.32,8,ML,Kidal,18.44,1.41
34.82,50,1.72,0,BR,Altamira,-3.2,-52.21
13.02,59,4.67,0,RO,Esna,45.2,27.57
15.31,76,3.92,92,NO,Nesbyen,60.57,9.1
21.67,99,0.87,92,ID,Maloy,1.0,118.1
9.52,40,3.87,0,UA,Nova Odesa,47.3,31.79
1.62,100,5.62,92,RU,Dikson,73.51,80.55
12.17,83,3.57,0,PL,Zambrow,52.99,22.24
15.0,72,1.0,0,HU,Isaszeg,47.53,19.4
35.0,50,5.1,40,BR,Itaituba,-4.26,-55.99
5.12,80,1.37,48,IR,Torbat-e Jam,35.24,60.63
19.74,68,5.1,75,GB,Holme,53.7,-2.31
37.47,27,3.27,0,BR,Simplicio Mendes,-7.85,-41.91
29.0,79,2.1,0,IR,Minab,27.15,57.07
10.27,86,3.32,0,LT,Svencionys,55.15,26.17
10.24,58,8.2,75,US,Vardo,39.62,-77.74
11.0,93,2.1,100,NO,Raudeberg,61.99,5.14
27.37,100,2.52,56,MV,Ugoofaaru,5.67,73.0
18.33,72,3.1,0,SE,Mjolby,58.33,15.12
18.87,95,6.52,92,MZ,Macia,-25.03,33.09
34.0,52,5.1,40,GY,Georgetown,6.8,-58.16
31.0,58,2.02,76,IR,Bushehr,28.97,50.84
31.0,70,4.1,40,BB,Oistins,13.07,-59.53
9.62,39,4.12,0,RU,Krylovskaya,46.32,39.96
13.87,89,3.87,100,FI,Ylivieska,64.07,24.53
21.62,53,1.82,0,MG,Ankazoabo,-22.29,44.51
22.0,53,4.47,75,AL,Durres,41.32,19.44
23.72,60,1.22,0,DZ,Sidi Ali,36.1,0.42
32.32,34,2.87,80,NG,Bara,10.41,10.6
17.0,67,5.7,20,ZA,Stutterheim,-32.57,27.43
8.37,87,6.57,68,CA,Goderich,43.74,-81.71
22.02,68,7.7,0,FR,Lamballe,48.47,-2.52
21.17,78,3.52,0,MG,Beloha,-25.17,45.06
5.56,79,1.57,0,UA,Romny,50.74,33.49
5.56,79,1.57,0,UA,Male,50.74,33.7
12.0,93,2.6,24,FI,Jamsa,61.86,25.19
20.31,69,2.12,0,AR,Necochea,-38.55,-58.74
24.52,94,2.97,68,CI,San-Pedro,4.75,-6.64
37.0,39,2.1,40,BR,Maraba,-5.35,-49.1
22.87,72,1.12,0,IN,Alirajpur,22.3,74.35
1.97,54,4.47,88,RU,Dombarovskiy,50.76,59.54
22.57,83,8.7,20,PT,Peniche,39.36,-9.38
22.67,68,5.1,0,FR,Lillebonne,49.52,0.53
11.22,86,3.32,0,PL,Hajnowka,52.74,23.58
13.72,48,4.32,0,BG,Ruse,43.85,25.95
19.81,96,1.47,64,CD,Kamina,-8.74,25.0
23.42,92,5.32,80,MZ,Maxixe,-23.86,35.35
9.0,100,4.6,90,IE,Ballina,54.11,-9.15
14.31,99,2.47,92,AU,Codrington,-28.95,153.24
26.22,100,6.42,64,TZ,Kilindoni,-7.91,39.67
25.22,88,1.77,44,PH,Dingle,11.0,122.67
22.27,68,3.6,0,FR,Armentieres,50.69,2.88
17.77,70,6.37,0,UY,Rocha,-34.48,-54.34
34.72,31,2.57,0,BR,Oliveira dos Brejinhos,-12.32,-42.89
28.0,58,2.1,40,EC,Olinda,-2.03,-79.75
19.0,59,2.1,0,HR,Pag,44.45,15.06
16.81,51,4.02,0,PL,Debno,52.74,14.7
32.42,24,3.07,0,ML,Timbuktu,16.77,-3.01
9.62,88,3.77,56,RU,Usvyaty,55.75,30.75
34.0,20,6.2,0,DZ,Adrar,27.87,-0.29
1.02,71,4.22,80,RU,Uray,60.13,64.8
22.17,57,4.12,0,MZ,Mutare,-18.97,32.67
21.99,64,3.1,0,FR,Manosque,43.83,5.78
16.0,82,6.7,90,BR,Rio Grande,-32.03,-52.1
19.63,64,4.1,0,IT,Bastia,44.6,8.98
27.47,100,3.12,48,MV,Kulhudhuffushi,6.62,73.07
5.0,93,12.3,92,NO,Bjornevatn,69.67,29.98
31.27,40,1.62,48,NE,Ayorou,14.73,0.92
23.32,93,3.32,76,MG,Nosy Varika,-20.58,48.53
23.42,92,5.32,80,MZ,Inhambane,-23.87,35.38
15.17,100,0.67,0,ET,Bonga,7.26,36.25
3.0,64,12.3,40,NO,Longyearbyen,78.22,15.63
9.51,39,4.1,0,TM,Akdepe,42.05,59.39
9.0,81,5.7,80,FO,Vestmanna,62.16,-7.17
29.87,74,1.62,24,BR,Tamandare,-8.28,-70.75
24.07,100,5.97,20,MG,Sambava,-14.27,50.17
16.34,72,5.1,0,SE,Norrtalje,59.76,18.7
-4.04,100,2.37,0,GL,Maniitsoq,65.42,-52.9
24.62,47,8.27,64,BW,Mathathane,-22.27,28.75
31.0,55,9.8,20,BR,Caucaia,-3.73,-38.66
9.0,93,3.1,12,SE,Lulea,65.58,22.15
30.0,74,5.1,20,GN,Forecariah,9.43,-13.09
11.81,95,0.17,32,ET,Robe,7.12,40.01
13.81,58,2.42,0,DE,Zwiesel,49.01,13.23
13.97,98,7.72,92,GB,Aberystwyth,52.41,-4.08
23.17,51,1.97,64,ZM,Mwinilunga,-11.73,24.43
11.72,73,0.02,0,ET,Korem,12.51,39.52
27.52,37,4.22,20,TZ,Liwale,-9.8,37.92
18.62,37,4.77,0,NA,Maltahohe,-24.83,16.98
8.0,33,5.0,0,RU,Donskoye,45.45,41.98
32.0,25,3.6,0,ES,Montilla,37.58,-4.64
25.0,73,5.1,20,TZ,Muriti,-1.99,32.93
31.67,65,1.22,0,ML,Bafoulabe,13.81,-10.83
24.47,66,1.22,32,ZM,Kaoma,-14.8,24.8
20.12,88,1.17,76,UG,Kotido,3.01,34.12
28.82,100,2.12,12,MV,Thinadhoo,0.53,72.93
6.92,97,10.87,56,IS,Hofn,64.25,-15.21
10.0,100,5.1,75,IE,Mahon,51.89,-8.4
7.22,88,2.67,0,RU,Alpatovo,43.7,45.24
14.0,87,4.0,0,RU,Kolpino,59.75,30.6
26.0,31,6.7,0,EG,Asyut,27.18,31.19
23.77,98,4.32,92,BR,Conde,-11.81,-37.61
20.02,84,1.42,48,ZM,Mporokoso,-9.37,30.12
26.52,90,1.52,12,IN,Kumta,14.42,74.4
-1.19,99,1.12,24,RU,Dvinskoy,62.16,45.12
14.48,77,1.5,20,AT,Paternion,46.71,13.64
32.72,53,5.07,0,BR,Cururupu,-1.82,-44.87
14.87,68,6.17,76,SE,Hudiksvall,61.73,17.1
-0.69,94,2.57,0,RU,Salym,60.06,71.48
25.0,33,4.1,0,ZA,Stellenbosch,-33.93,18.87
21.0,46,3.1,0,DE,Schoneiche,52.47,13.68
-2.0,58,5.1,20,GL,Nuuk,64.17,-51.74
8.0,75,9.3,20,IS,Vestmannaeyjar,63.44,-20.27
20.82,38,1.5,0,CH,Porrentruy,47.42,7.08
20.42,63,3.02,36,LY,Nalut,31.86,10.98
15.0,82,3.6,40,ZA,Bloemfontein,-29.12,26.22
29.37,100,1.77,88,MV,Hithadhoo,-0.6,73.08
18.97,44,5.32,88,AU,Jamestown,-33.21,138.6
20.0,88,7.7,90,FR,Foix,42.97,1.61
26.67,24,2.77,64,ZW,Livingstone,-17.85,25.86
26.47,99,4.42,12,GH,Axim,4.87,-2.24
24.0,57,5.7,20,IT,Carbonia,39.17,8.53
24.22,21,5.22,0,NA,Opuwo,-18.06,13.84
6.31,87,3.07,0,RU,Velikodvorskiy,55.25,40.67
9.52,97,2.47,88,RU,Porosozero,62.72,32.71
20.0,68,2.6,20,IT,Pachino,36.72,15.09
-1.49,76,2.67,80,RU,Tukan,53.84,57.45
